NAME,MASS,PER
,mjupiter,day
Kepler-107 d,0.00371234,7.958203
Kepler-1049 b,0.00245309,3.27346074
Kepler-813 b,0.0159697,19.12947337
Kepler-427 b,0.29,10.290994
Kepler-1056 b,0.0271261,27.495606
Kepler-1165 b,0.0115843,9.478522
Kepler-1104 b,0.00609283,5.03728015
WASP-14 b,7.69234,2.243752
Kepler-50 b,0.0164915,7.8125124
NN Ser d,0.642621,2605
Kepler-1279 b,0.0129028,23.4774101
Kepler-1599 b,0.0120821,122.363553
Kepler-20 b,0.0266646,3.6961219
HAT-P-27 b,0.617485,3.039577
Kepler-181 b,0.00674351,3.137873
HD 116029 b,1.9075,670
Kepler-207 b,0.0117295,1.611865
Kepler-1156 b,0.00774372,11.89520511
Kepler-1512 b,0.00518721,20.35972599
Kepler-787 b,0.00688654,0.9283105
Kepler-528 b,0.0154788,19.78297415
HD 219828 b,0.0622185,3.8334999
Kepler-480 b,0.0233514,4.9195838
Kepler-1567 b,0.0227057,153.979578
Kepler-1390 b,0.00518721,6.48021673
Kepler-1642 b,0.0304768,12.2057513
Kepler-11 c,0.00912437,13.0241
Kepler-871 b,0.0437521,22.0459018
Kepler-1131 b,0.0118667,3.53232449
Kepler-705 b,0.0156727,56.0560538
HD 1237 b,3.3748,133.71001
WASP-21 b,0.300272,4.322482
Kepler-284 c,0.0210192,37.514456
Kepler-186 c,0.00636705,7.267302
HD 4308 b,0.0477376,15.56
Kepler-239 b,0.0177874,11.763051
Kepler-651 b,0.0181548,21.38521506
Kepler-80 f,0.00609283,0.98678706
Kepler-1217 b,0.0147338,2.03232507
Kepler-895 b,0.0115145,2.80624233
Kepler-628 b,0.243389,15.4580567
Kepler-174 b,0.014454,13.98179
Kepler-440 b,0.0136945,101.11141
Kepler-403 d,0.00991268,13.61159129
Kepler-224 d,0.0174811,11.349393
Kepler-389 c,0.0107805,14.51143
Kepler-674 b,0.0125233,2.24338185
Kepler-1047 c,0.00277643,3.18897601
Kepler-1247 b,0.0178026,13.71220213
Kepler-1210 b,0.0125983,8.07124073
Kepler-254 c,0.0160511,12.412183
Kepler-236 c,0.0147725,23.968127
WASP-25 b,0.57847,3.764825
Kepler-186 d,0.00934866,13.342996
Kepler-1646 b,0.00609283,4.48558383
HD 24040 b,4.02189,3668
Kepler-359 c,0.0607789,57.68802
Kepler-211 c,0.00711292,6.04045
Kepler-967 b,0.0180364,13.22713379
Kepler-1574 b,0.00709482,6.9424334
Kepler-1157 b,0.00392895,4.45743164
Kepler-549 b,0.020474,42.9495649
Kepler-1510 b,0.0340314,84.703921
Kepler-1002 b,0.0126737,4.33642933
Kepler-294 c,0.0223552,6.6264
Kepler-263 c,0.019315,47.332773
Kepler-349 b,0.0139923,5.929778
Kepler-1563 b,0.00105753,3.43276598
Kepler-1611 b,0.00136198,5.1762429
Kepler-1284 b,0.00571923,0.66407381
HD 200964 b,1.94873,613.8
Kepler-706 b,1,41.40831347
HD 147018 b,2.12711,44.236
HD 218566 b,0.212872,225.7
HD 45364 b,0.187149,226.93
Kepler-1177 b,0.014034,106.247547
Kepler-1364 b,0.0160703,13.32196237
Kepler-653 b,0.0143786,14.70748976
Kepler-553 b,0.0707577,4.03046804
Kepler-361 b,0.010538,8.486616
Kepler-318 c,0.0419521,11.815007
Kepler-372 b,0.00850717,6.849692
Kepler-197 e,0.00208313,25.209715
HD 141937 b,9.4752,653.21997
Kepler-405 c,0.071727,29.726682
Kepler-104 d,0.0392746,51.755394
Kepler-702 b,0.531485,10.52629406
Kepler-26 d,0.00371234,3.543919
Kepler-159 b,0.0183139,10.139623
HD 156668 b,0.0130582,4.6455
MOA-2009-BLG-387L b,2.6,1970
Kepler-1045 b,0.0220818,26.41045478
Kepler-905 b,0.00965491,5.08274652
Kepler-763 b,0.00590412,1.19655156
Kepler-1376 b,0.00351465,5.30880656
Kepler-32 f,0.00143611,0.74296
WASP-103 b,1.48791,0.925542
Kepler-990 c,0.0124263,0.53835431
Kepler-221 e,0.0212781,18.369917
Kepler-1028 b,0.00796813,2.51462432
Kepler-256 c,0.0160511,3.38802
GJ 649 b,0.325341,598.3
Kepler-1333 b,0.0238504,109.6471842
Kepler-276 b,0.0247188,14.12841
Kepler-1042 b,0.0163773,10.13202575
Kepler-264 c,0.0241007,140.101261
HD 132406 b,5.60495,974
Kepler-143 b,0.0186399,16.007583
Kepler-1225 b,0.0133743,7.01075434
Kepler-189 c,0.0183139,20.134866
HD 38529 c,12.2603,2146.0503
Kepler-62 b,0,5.714932
Kepler-281 b,0.0239491,14.646008
Kepler-1006 b,0.0115145,19.76172042
Kepler-196 c,0.0168894,47.427737
Kepler-238 c,0.0184218,6.155557
Kepler-49 c,0.0202381,10.9129343
Kepler-55 c,0.016585,42.1516418
Kepler-791 b,0.0277215,14.5539759
WASP-19 b,1.13339,0.78884
Kepler-310 d,0.019315,92.876125
Kepler-619 c,0.0125233,1.20846503
Kepler-204 c,0.0131908,25.660593
Kepler-26 b,0.0397121,12.282356
Kepler-374 c,0.00409374,3.282807
Kepler-395 b,0.00324127,7.054346
